province_code,province_name,sector_code,sector_name,sector_category,year,employed_thousands,avg_annual_salary_cad,unemployment_rate_pct,part_time_pct
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2014,129.04,80497.0,7.2,16.2
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2015,127.72,78118.0,4.1,25.3
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2016,133.01,82538.0,6.5,26.0
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2017,139.58,83288.0,7.4,27.5
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2018,140.11,87295.0,3.6,15.7
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2019,143.81,91655.0,4.1,20.1
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2020,151.24,88796.0,4.5,24.9
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2021,162.02,90711.0,4.2,14.0
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2022,155.8,95426.0,5.0,19.8
AB,Alberta,PS-HLTH,Health care and social assistance (public),Health & Social,2023,159.81,103235.0,4.9,26.8
AB,Alberta,PS-EDU,Educational services (public),Education,2010,84.71,75546.0,6.7,13.7
AB,Alberta,PS-EDU,Educational services (public),Education,2011,86.39,77401.0,8.3,21.5
AB,Alberta,PS-EDU,Educational services (public),Education,2012,86.45,78118.0,5.8,24.6
AB,Alberta,PS-EDU,Educational services (public),Education,2013,89.3,83689.0,7.6,24.7
AB,Alberta,PS-EDU,Educational services (public),Education,2014,87.31,82382.0,6.5,25.9
AB,Alberta,PS-EDU,Educational services (public),Education,2015,94.61,83508.0,5.4,18.8
AB,Alberta,PS-EDU,Educational services (public),Education,2016,92.81,82391.0,5.8,16.0
AB,Alberta,PS-EDU,Educational services (public),Education,2017,92.52,86218.0,7.6,13.7
AB,Alberta,PS-EDU,Educational services (public),Education,2018,94.07,90371.0,4.2,25.2
AB,Alberta,PS-EDU,Educational services (public),Education,2019,95.75,92976.0,8.1,14.6
AB,Alberta,PS-EDU,Educational services (public),Education,2020,90.2,95621.0,4.1,12.3
AB,Alberta,PS-EDU,Educational services (public),Education,2021,101.73,99092.0,3.8,21.5
AB,Alberta,PS-EDU,Educational services (public),Education,2022,103.17,101337.0,5.1,20.1
AB,Alberta,PS-EDU,Educational services (public),Education,2023,103.15,101150.0,3.7,14.9
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2010,18.76,93526.0,6.4,18.7
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2011,17.85,87190.0,7.7,12.8
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2012,18.24,87616.0,7.7,26.4
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2013,17.86,93426.0,7.4,22.3
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2014,18.14,96834.0,6.2,20.2
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2015,18.67,91898.0,5.4,22.2
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2016,18.41,100914.0,5.9,18.7
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2017,18.86,99791.0,5.3,17.2
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2018,18.42,103833.0,5.0,27.2
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2019,18.65,115611.0,5.1,20.6
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2020,18.85,114131.0,7.5,20.5
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2021,18.81,113048.0,7.2,15.2
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2022,18.88,117673.0,6.6,13.5
AB,Alberta,PS-UTIL,Utilities (public),Utilities,2023,19.23,123968.0,8.2,14.2
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2010,11.79,68912.0,6.5,24.5
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2011,11.97,69568.0,4.8,21.4
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2012,12.07,74232.0,6.3,21.2
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2013,11.87,76071.0,7.3,24.8
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2014,12.69,72484.0,8.2,13.9
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2015,12.19,82705.0,6.8,18.7
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2016,12.48,83160.0,5.2,26.4
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2017,12.73,83883.0,5.3,17.0
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2018,12.76,86269.0,8.2,19.0
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2019,12.87,91306.0,6.3,27.0
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2020,12.26,91876.0,5.4,27.8
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2021,13.53,94166.0,4.1,25.6
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2022,13.16,88484.0,6.4,23.0
AB,Alberta,PS-TRANS,Transportation and warehousing (public),Transportation,2023,13.33,100287.0,7.6,16.7
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2010,9.76,81999.0,5.0,26.7
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2011,10.1,82451.0,8.5,26.1
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2012,10.05,89469.0,4.0,28.0
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2013,10.08,90834.0,4.0,26.4
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2014,10.32,90760.0,4.2,24.4
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2015,10.43,93916.0,6.8,12.6
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2016,10.35,99838.0,6.5,24.8
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2017,10.2,92859.0,3.8,24.8
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2018,10.45,102953.0,7.0,25.4
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2019,10.54,109164.0,6.7,25.6
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2020,10.63,102751.0,4.5,16.3
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2021,10.92,115905.0,6.6,12.9
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2022,10.58,114579.0,7.9,23.4
AB,Alberta,PS-DEF,Defence and security services,Public Administration,2023,10.96,113693.0,4.4,27.7
BC,British Columbia,PS-FED,Federal government,Public Administration,2010,41.59,93181.0,6.7,21.2
BC,British Columbia,PS-FED,Federal government,Public Administration,2011,42.44,98036.0,5.0,21.2
BC,British Columbia,PS-FED,Federal government,Public Administration,2012,43.1,95696.0,8.2,14.4
BC,British Columbia,PS-FED,Federal government,Public Administration,2013,42.55,100111.0,5.9,13.9
BC,British Columbia,PS-FED,Federal government,Public Administration,2014,42.89,102039.0,5.0,18.8
BC,British Columbia,PS-FED,Federal government,Public Administration,2015,43.28,104009.0,5.6,18.5
BC,British Columbia,PS-FED,Federal government,Public Administration,2016,42.24,100057.0,5.1,12.6
BC,British Columbia,PS-FED,Federal government,Public Administration,2017,43.3,115715.0,4.6,21.2
BC,British Columbia,PS-FED,Federal government,Public Administration,2018,43.94,110724.0,6.7,22.4
BC,British Columbia,PS-FED,Federal government,Public Administration,2019,44.34,113726.0,6.2,18.9
BC,British Columbia,PS-FED,Federal government,Public Administration,2020,45.04,126945.0,6.1,23.8
BC,British Columbia,PS-FED,Federal government,Public Administration,2021,44.87,122815.0,6.0,20.3
BC,British Columbia,PS-FED,Federal government,Public Administration,2022,44.07,125327.0,7.7,19.9
BC,British Columbia,PS-FED,Federal government,Public Administration,2023,45.23,129355.0,7.7,12.9
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2010,129.44,79062.0,4.4,17.0
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2011,127.69,79145.0,7.6,25.7
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2012,135.33,84150.0,6.5,13.9
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2013,127.98,82628.0,8.5,24.4
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2014,134.14,87299.0,7.0,18.2
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2015,136.84,88022.0,4.5,20.4
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2016,139.38,88588.0,7.7,27.8
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2017,137.35,90248.0,8.5,14.3
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2018,143.74,93774.0,3.9,24.1
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2019,142.73,101984.0,4.3,14.9
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2020,138.33,101202.0,4.7,16.7
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2021,145.32,105867.0,6.0,13.3
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2022,142.78,102301.0,6.7,22.4
BC,British Columbia,PS-PROV,Provincial and territorial government,Public Administration,2023,147.39,107010.0,3.8,17.9
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2010,80.85,69352.0,7.7,19.7
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2011,81.32,73955.0,6.0,26.6
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2012,81.01,69230.0,5.2,20.0
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2013,82.28,71276.0,5.5,26.7
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2014,83.97,73335.0,5.2,15.1
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2015,84.71,75429.0,5.7,16.9
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2016,84.07,78698.0,4.9,23.2
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2017,87.21,77303.0,6.6,19.6
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2018,87.68,83755.0,7.1,27.4
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2019,88.67,82191.0,4.1,23.7
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2020,84.04,84859.0,6.8,27.5
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2021,90.46,89888.0,7.2,24.0
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2022,91.72,86921.0,3.7,24.4
BC,British Columbia,PS-LOCAL,Local government,Public Administration,2023,92.69,96024.0,5.8,27.6
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2010,161.24,70753.0,3.9,20.9
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2011,162.43,74998.0,7.6,12.6
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2012,163.85,76866.0,4.0,22.8
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2013,168.62,78574.0,7.8,23.8
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2014,178.5,80051.0,4.7,22.0
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2015,179.83,81540.0,6.1,22.8
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2016,186.86,82162.0,8.0,22.7
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2017,187.22,79390.0,5.2,25.7
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2018,193.76,82628.0,5.5,16.4
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2019,199.25,86915.0,3.9,17.5
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2020,208.41,94099.0,8.5,16.7
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2021,221.47,94068.0,6.4,28.0
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2022,211.08,91804.0,5.5,26.6
BC,British Columbia,PS-HLTH,Health care and social assistance (public),Health & Social,2023,226.68,98734.0,5.3,13.1
BC,British Columbia,PS-EDU,Educational services (public),Education,2010,116.01,75719.0,5.8,22.2
BC,British Columbia,PS-EDU,Educational services (public),Education,2011,118.85,76128.0,8.3,24.0
BC,British Columbia,PS-EDU,Educational services (public),Education,2012,116.87,77988.0,8.0,15.8
BC,British Columbia,PS-EDU,Educational services (public),Education,2013,117.34,81935.0,6.1,23.9
BC,British Columbia,PS-EDU,Educational services (public),Education,2014,123.49,83462.0,5.0,15.9
BC,British Columbia,PS-EDU,Educational services (public),Education,2015,125.44,85745.0,7.9,16.5
BC,British Columbia,PS-EDU,Educational services (public),Education,2016,126.54,87989.0,7.4,19.0
BC,British Columbia,PS-EDU,Educational services (public),Education,2017,128.83,92499.0,6.9,25.0
BC,British Columbia,PS-EDU,Educational services (public),Education,2018,128.57,90187.0,4.4,21.0
BC,British Columbia,PS-EDU,Educational services (public),Education,2019,134.45,92375.0,8.3,20.2
BC,British Columbia,PS-EDU,Educational services (public),Education,2020,122.29,98748.0,8.3,13.6
BC,British Columbia,PS-EDU,Educational services (public),Education,2021,136.58,91556.0,3.8,19.3
BC,British Columbia,PS-EDU,Educational services (public),Education,2022,137.08,104234.0,3.8,13.8
BC,British Columbia,PS-EDU,Educational services (public),Education,2023,139.44,106642.0,7.0,15.3
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2010,22.18,87415.0,5.6,12.0
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2011,22.3,87399.0,3.5,20.1
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2012,21.73,88118.0,5.7,24.5
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2013,21.86,94493.0,5.1,15.9
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2014,21.77,94446.0,4.6,17.3
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2015,22.59,96158.0,5.8,23.4
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2016,22.42,103733.0,4.2,26.7
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2017,22.52,107045.0,3.7,13.8
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2018,21.77,110442.0,6.3,21.4
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2019,21.97,110226.0,7.8,21.9
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2020,22.62,111391.0,7.8,16.1
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2021,22.86,111948.0,6.5,27.8
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2022,23.19,115081.0,5.1,24.8
BC,British Columbia,PS-UTIL,Utilities (public),Utilities,2023,23.03,125857.0,5.6,17.1
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2010,18.17,70716.0,5.2,12.3
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2011,17.99,68995.0,7.0,23.8
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2012,18.66,74107.0,6.5,14.0
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2013,18.49,72909.0,4.4,20.1
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2014,18.22,77148.0,3.6,27.9
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2015,18.98,79226.0,8.0,26.1
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2016,18.82,78542.0,4.9,12.8
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2017,18.68,84484.0,6.8,25.4
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2018,19.15,87836.0,4.7,26.0
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2019,19.35,85204.0,6.3,18.3
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2020,18.43,93066.0,6.3,24.1
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2021,19.68,90967.0,6.1,12.2
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2022,19.63,94856.0,5.5,13.5
BC,British Columbia,PS-TRANS,Transportation and warehousing (public),Transportation,2023,20.06,95332.0,6.9,14.4
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2010,14.74,82787.0,4.5,25.7
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2011,15.16,83098.0,5.8,23.7
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2012,15.19,88334.0,6.1,23.9
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2013,14.66,91533.0,6.3,13.7
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2014,15.28,90626.0,7.5,13.6
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2015,15.79,100277.0,3.6,27.7
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2016,15.56,102539.0,7.9,18.3
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2017,15.73,109372.0,6.4,18.5
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2018,15.96,101235.0,5.8,15.1
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2019,15.84,105781.0,4.2,14.6
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2020,16.19,101279.0,8.3,15.9
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2021,15.83,110022.0,7.9,16.4
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2022,16.32,108422.0,6.1,19.5
BC,British Columbia,PS-DEF,Defence and security services,Public Administration,2023,16.2,116764.0,5.9,27.3
MB,Manitoba,PS-FED,Federal government,Public Administration,2010,14.01,86778.0,4.1,16.0
MB,Manitoba,PS-FED,Federal government,Public Administration,2011,14.02,94007.0,7.9,26.4
MB,Manitoba,PS-FED,Federal government,Public Administration,2012,14.34,93436.0,8.3,13.1
MB,Manitoba,PS-FED,Federal government,Public Administration,2013,14.27,102774.0,6.3,13.6
MB,Manitoba,PS-FED,Federal government,Public Administration,2014,13.92,99013.0,6.2,14.6
MB,Manitoba,PS-FED,Federal government,Public Administration,2015,14.36,103116.0,7.8,21.3
MB,Manitoba,PS-FED,Federal government,Public Administration,2016,14.24,108225.0,5.4,18.5
MB,Manitoba,PS-FED,Federal government,Public Administration,2017,14.52,108875.0,4.5,27.1
MB,Manitoba,PS-FED,Federal government,Public Administration,2018,15.02,111335.0,4.0,16.2
MB,Manitoba,PS-FED,Federal government,Public Administration,2019,14.41,112304.0,5.6,19.2
MB,Manitoba,PS-FED,Federal government,Public Administration,2020,14.87,121256.0,7.8,26.0
MB,Manitoba,PS-FED,Federal government,Public Administration,2021,14.72,122629.0,4.7,15.9
MB,Manitoba,PS-FED,Federal government,Public Administration,2022,14.79,120512.0,7.9,24.4
MB,Manitoba,PS-FED,Federal government,Public Administration,2023,14.9,133984.0,6.1,20.6
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2010,54.81,78177.0,4.1,27.2
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2011,56.52,83901.0,4.3,20.9
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2012,55.14,81733.0,3.7,13.9
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2013,56.85,86231.0,6.5,19.4
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2014,57.48,85179.0,4.4,27.8
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2015,58.14,78591.0,5.8,14.4
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2016,58.8,87302.0,3.8,17.5
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2017,58.54,98956.0,7.3,24.7
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2018,61.0,95409.0,5.7,22.2
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2019,60.12,93423.0,4.9,13.0
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2020,59.77,99950.0,4.3,22.1
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2021,62.18,104237.0,5.1,23.6
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2022,63.0,103604.0,6.5,19.6
MB,Manitoba,PS-PROV,Provincial and territorial government,Public Administration,2023,63.03,102586.0,4.4,22.8
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2010,30.17,69289.0,5.7,26.3
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2011,30.22,68690.0,5.0,27.2
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2012,31.55,74260.0,5.5,21.0
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2013,31.45,73495.0,8.0,18.7
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2014,31.44,73417.0,5.5,19.0
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2015,31.85,77721.0,6.8,22.5
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2016,32.59,79755.0,5.1,15.2
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2017,32.37,76817.0,4.7,22.7
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2018,33.03,82171.0,4.2,16.5
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2019,33.57,85728.0,4.5,20.7
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2020,31.04,86094.0,6.6,16.1
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2021,34.55,92020.0,8.4,18.4
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2022,34.36,92784.0,5.5,26.0
MB,Manitoba,PS-LOCAL,Local government,Public Administration,2023,35.55,92170.0,8.2,25.7
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2010,59.14,74104.0,5.9,22.1
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2011,60.8,71898.0,8.1,26.8
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2012,62.13,76638.0,7.2,24.2
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2013,64.72,83224.0,5.8,15.8
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2014,66.38,80455.0,4.8,21.4
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2015,67.73,85015.0,7.6,25.8
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2016,68.91,83347.0,5.2,24.8
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2017,72.87,85387.0,7.4,13.9
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2018,72.85,83533.0,4.5,14.5
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2019,76.41,97496.0,8.2,27.7
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2020,80.16,91748.0,7.5,16.3
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2021,83.58,93313.0,4.1,25.3
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2022,81.48,96028.0,6.3,20.0
MB,Manitoba,PS-HLTH,Health care and social assistance (public),Health & Social,2023,83.7,99790.0,8.5,28.0
